,,,,,
age,mx,qx,lx,dx,ex
0,0.003588,0.003581,100000.0,358.1,83.04
1,0.000223,0.000223,99641.9,22.2,82.33
2,0.000143,0.000143,99619.6,14.2,81.35
3,0.000098,0.000098,99605.4,9.8,80.36
4,0.000068,0.000068,99595.7,6.8,79.37
5,0.000071,0.000071,99588.8,7.1,78.38
6,0.000069,0.000069,99581.8,6.9,77.38
7,0.000059,0.000059,99574.9,5.9,76.39
8,0.000064,0.000064,99569.0,6.4,75.39
9,0.000062,0.000062,99562.6,6.1,74.40
10,0.000066,0.000066,99556.5,6.5,73.40
11,0.000076,0.000076,99549.9,7.6,72.41
12,0.000067,0.000067,99542.4,6.6,71.41
13,0.000102,0.000102,99535.8,10.2,70.42
14,0.000087,0.000087,99525.6,8.6,69.42
15,0.000131,0.000131,99517.0,13.0,68.43
16,0.000116,0.000116,99504.0,11.5,67.44
17,0.000167,0.000167,99492.4,16.6,66.45
18,0.000175,0.000175,99475.8,17.4,65.46
19,0.000192,0.000192,99458.4,19.1,64.47
20,0.000225,0.000225,99439.4,22.4,63.48
21,0.000214,0.000213,99417.0,21.2,62.49
22,0.000207,0.000207,99395.8,20.6,61.51
23,0.000235,0.000235,99375.2,23.4,60.52
24,0.000240,0.000240,99351.8,23.8,59.53
25,0.000229,0.000229,99328.0,22.7,58.55
26,0.000269,0.000269,99305.3,26.7,57.56
27,0.000300,0.000300,99278.6,29.8,56.58
28,0.000303,0.000303,99248.8,30.1,55.59
29,0.000337,0.000337,99218.7,33.4,54.61
30,0.000340,0.000340,99185.3,33.7,53.63
31,0.000381,0.000380,99151.6,37.7,52.65
32,0.000439,0.000439,99113.9,43.5,51.67
33,0.000473,0.000473,99070.4,46.8,50.69
34,0.000540,0.000540,99023.5,53.5,49.71
35,0.000602,0.000601,98970.0,59.5,48.74
36,0.000578,0.000578,98910.5,57.2,47.77
37,0.000705,0.000704,98853.3,69.6,46.80
38,0.000838,0.000838,98783.7,82.7,45.83
39,0.000889,0.000888,98700.9,87.7,44.87
40,0.000946,0.000946,98613.3,93.3,43.91
41,0.001019,0.001019,98520.0,100.4,42.95
42,0.001153,0.001152,98419.6,113.4,41.99
43,0.001165,0.001164,98306.2,114.4,41.04
44,0.001317,0.001317,98191.8,129.3,40.09
45,0.001399,0.001398,98062.5,137.0,39.14
46,0.001567,0.001566,97925.5,153.3,38.19
47,0.001808,0.001806,97772.2,176.6,37.25
48,0.001897,0.001895,97595.6,184.9,36.32
49,0.002085,0.002083,97410.6,202.9,35.39
50,0.002299,0.002297,97207.7,223.3,34.46
51,0.002448,0.002445,96984.5,237.1,33.54
52,0.002543,0.002540,96747.3,245.8,32.62
53,0.002856,0.002852,96501.6,275.2,31.70
54,0.003058,0.003054,96226.3,293.8,30.79
55,0.003336,0.003331,95932.5,319.5,29.88
56,0.003690,0.003683,95613.0,352.1,28.98
57,0.004003,0.003995,95260.8,380.6,28.08
58,0.004273,0.004264,94880.3,404.5,27.20
59,0.004596,0.004585,94475.7,433.2,26.31
60,0.005053,0.005040,94042.5,474.0,25.43
61,0.005409,0.005394,93568.6,504.7,24.56
62,0.006126,0.006107,93063.8,568.3,23.69
63,0.006782,0.006759,92495.5,625.2,22.83
64,0.007502,0.007474,91870.3,686.6,21.98
65,0.008044,0.008011,91183.6,730.5,21.14
66,0.008959,0.008919,90453.1,806.8,20.31
67,0.009750,0.009703,89646.4,869.8,19.49
68,0.010750,0.010692,88776.5,949.2,18.67
69,0.011620,0.011553,87827.3,1014.7,17.87
70,0.012990,0.012906,86812.6,1120.4,17.07
71,0.013964,0.013867,85692.2,1188.3,16.29
72,0.015361,0.015244,84503.9,1288.2,15.51
73,0.016937,0.016794,83215.8,1397.6,14.74
74,0.018633,0.018461,81818.2,1510.4,13.99
75,0.021100,0.020880,80307.8,1676.8,13.24
76,0.023576,0.023301,78631.0,1832.2,12.51
77,0.027038,0.026678,76798.8,2048.8,11.80
78,0.030325,0.029872,74750.0,2232.9,11.11
79,0.034044,0.033474,72517.0,2427.5,10.43
80,0.039494,0.038729,70089.6,2714.5,9.78
81,0.044801,0.043820,67375.0,2952.4,9.15
82,0.050744,0.049489,64422.7,3188.2,8.55
83,0.057137,0.055550,61234.5,3401.6,7.97
84,0.064726,0.062697,57832.9,3626.0,7.41
85,0.073569,0.070959,54206.9,3846.4,6.87
86,0.084720,0.081277,50360.5,4093.1,6.36
87,0.095544,0.091188,46267.4,4219.0,5.87
88,0.111174,0.105320,42048.3,4428.5,5.41
89,0.125301,0.117914,37619.8,4435.9,4.99
90,0.143652,0.134025,33183.9,4447.5,4.59
91,0.164109,0.151664,28736.4,4358.3,4.23
92,0.186683,0.170745,24378.1,4162.5,3.89
93,0.210163,0.190179,20215.7,3844.6,3.59
94,0.234267,0.209703,16371.1,3433.1,3.32
95,0.259119,0.229398,12938.0,2968.0,3.06
96,0.286731,0.250778,9970.1,2500.3,2.83
97,0.322789,0.277932,7469.8,2076.1,2.60
98,0.359191,0.304503,5393.7,1642.4,2.41
99,0.385852,0.323450,3751.3,1213.4,2.25
100,0.428461,0.352866,2537.9,895.6,2.09
