,,,,,
age,mx,qx,lx,dx,ex
0,0.004559,0.004548,100000.0,454.8,79.07
1,0.000244,0.000244,99545.2,24.3,78.44
2,0.000172,0.000172,99520.8,17.1,77.45
3,0.000106,0.000106,99503.7,10.5,76.47
4,0.000084,0.000084,99493.1,8.3,75.48
5,0.000086,0.000086,99484.8,8.5,74.48
6,0.000072,0.000072,99476.3,7.1,73.49
7,0.000072,0.000072,99469.1,7.2,72.49
8,0.000078,0.000078,99461.9,7.8,71.50
9,0.000073,0.000073,99454.2,7.3,70.50
10,0.000060,0.000060,99446.9,5.9,69.51
11,0.000092,0.000092,99441.0,9.1,68.51
12,0.000103,0.000103,99431.8,10.3,67.52
13,0.000113,0.000113,99421.5,11.3,66.53
14,0.000137,0.000137,99410.3,13.7,65.53
15,0.000183,0.000183,99396.6,18.2,64.54
16,0.000230,0.000230,99378.4,22.9,63.55
17,0.000305,0.000305,99355.6,30.3,62.57
18,0.000434,0.000434,99325.3,43.1,61.59
19,0.000501,0.000501,99282.2,49.7,60.61
20,0.000465,0.000465,99232.5,46.1,59.64
21,0.000494,0.000494,99186.3,49.0,58.67
22,0.000504,0.000504,99137.3,49.9,57.70
23,0.000556,0.000556,99087.4,55.1,56.73
24,0.000514,0.000514,99032.3,50.9,55.76
25,0.000526,0.000526,98981.4,52.0,54.79
26,0.000623,0.000623,98929.3,61.6,53.82
27,0.000601,0.000601,98867.7,59.4,52.85
28,0.000659,0.000658,98808.3,65.1,51.88
29,0.000726,0.000726,98743.3,71.7,50.92
30,0.000735,0.000735,98671.6,72.5,49.95
31,0.000846,0.000845,98599.1,83.4,a
32,0.000861,0.000861,98515.8,84.8,48.03
33,0.000942,0.000942,98430.9,92.7,47.07
34,0.000961,0.000960,98338.2,94.4,46.12
35,0.001075,0.001075,98243.8,105.6,45.16
36,0.001162,0.001162,98138.2,114.0,44.21
37,0.001263,0.001262,98024.2,123.7,43.26
38,0.001350,0.001349,97900.5,132.0,42.31
39,0.001534,0.001532,97768.4,149.8,41.37
40,0.001628,0.001627,97618.6,158.8,40.43
41,0.001794,0.001792,97459.8,174.7,39.50
42,0.001851,0.001849,97285.1,179.9,38.57
43,0.002006,0.002004,97105.3,194.6,37.64
44,0.002166,0.002164,96910.6,209.7,36.71
45,0.002383,0.002380,96700.9,230.1,35.79
46,0.002517,0.002514,96470.8,242.5,34.87
47,0.002830,0.002826,96228.3,271.9,33.96
48,0.003085,0.003080,95956.3,295.6,33.06
49,0.003357,0.003352,95660.8,320.6,32.16
50,0.003658,0.003652,95340.1,348.1,31.26
51,0.003924,0.003916,94992.0,372.0,30.38
52,0.004339,0.004330,94620.0,409.7,29.49
53,0.004569,0.004559,94210.3,429.5,28.62
54,0.004918,0.004906,93780.8,460.1,27.75
55,0.005308,0.005294,93320.8,494.0,26.88
56,0.005729,0.005713,92826.7,530.3,26.02
57,0.006265,0.006245,92296.4,576.4,25.17
58,0.006752,0.006730,91720.0,617.2,24.32
59,0.007194,0.007168,91102.8,653.0,23.49
60,0.008017,0.007985,90449.8,722.3,22.65
61,0.008873,0.008834,89727.5,792.6,21.83
62,0.009590,0.009544,88934.9,848.8,21.02
63,0.010371,0.010318,88086.0,908.8,20.22
64,0.011392,0.011327,87177.2,987.5,19.42
65,0.012430,0.012353,86189.8,1064.7,18.64
66,0.013666,0.013573,85125.1,1155.4,17.87
67,0.015092,0.014979,83969.7,1257.8,17.11
68,0.016700,0.016562,82711.9,1369.9,16.36
69,0.018005,0.017844,81342.0,1451.5,15.63
70,0.019763,0.019570,79890.5,1563.5,14.90
71,0.021647,0.021415,78327.0,1677.4,14.19
72,0.023905,0.023622,76649.7,1810.6,13.49
73,0.025648,0.025324,74839.1,1895.2,12.80
74,0.027738,0.027358,72943.9,1995.6,12.12
75,0.030945,0.030473,70948.3,2162.0,11.45
76,0.034899,0.034300,68786.2,2359.4,10.79
77,0.038944,0.038201,66426.8,2537.5,10.16
78,0.043894,0.042951,63889.3,2744.1,9.54
79,0.048886,0.047720,61145.2,2917.8,8.95
80,0.056137,0.054605,58227.3,3179.5,8.37
81,0.062701,0.060795,55047.9,3346.6,7.83
82,0.071192,0.068745,51701.2,3554.2,7.30
83,0.078266,0.075319,48147.0,3626.4,6.80
84,0.088090,0.084373,44520.7,3756.4,6.32
85,0.099306,0.094608,40764.3,3856.6,5.85
86,0.112390,0.106410,36907.7,3927.4,5.41
87,0.127291,0.119674,32980.3,3946.9,4.99
88,0.144741,0.134973,29033.4,3918.7,4.61
89,0.162602,0.150376,25114.7,3776.6,4.25
90,0.185583,0.169825,21338.0,3623.7,3.91
91,0.206944,0.187539,17714.3,3322.1,3.61
92,0.233295,0.208924,14392.2,3006.9,3.32
93,0.259311,0.229549,11385.3,2613.5,3.07
94,0.291524,0.254437,8771.8,2231.9,2.84
95,0.316558,0.273301,6540.0,1787.4,2.63
96,0.350486,0.298224,4752.6,1417.3,2.43
97,0.391586,0.327470,3335.2,1092.2,2.26
98,0.404375,0.336366,2243.1,754.5,2.11
99,0.462919,0.375911,1488.6,559.6,1.93
100,0.505709,0.403645,929,375,1.79
